gene_ids,Malignant,MG/Mp,ILC/gdT,CD4,Oligodendrocytes,Treg,CD8,DC,etc.,Neutrophils
ENSG00000179403,0.06751068,0.00065383146,0.005320157,0.0021932859,0.7501957,0.031890456,0.002341402,0.054850586,0.014971032,0.01368339
ENSG00000215915,0.024038984,0.008423217,0.008786232,0.003972304,0.026530901,0.034701623,0.0101904115,0.019082218,0.023999168,0.021227233
ENSG00000160072,0.052124366,0.022300413,0.09210137,0.023944806,0.02681976,0.030004757,0.026543655,0.03107403,0.042117342,0.035192348
ENSG00000197785,0.07919794,0.014741445,0.018423175,0.009309397,0.030095596,0.020276645,0.012820559,0.036428124,0.011970491,0.015018731
ENSG00000205090,0.01949969,0.00075852225,0.005447583,0.0018288173,0.0063398983,0.02584397,0.001929553,0.017721672,0.017680705,0.011311207
ENSG00000160075,0.24165091,0.18237957,0.2098626,0.29362026,0.19231915,0.27490848,0.23201637,0.1183384,0.08716343,0.3350776
ENSG00000215014,0.025566433,0.043570913,0.0156012215,0.03661566,0.013405629,0.09090621,0.02741745,0.01569502,0.04940481,0.068799295
ENSG00000228594,0.02365062,0.0020836047,0.012356812,0.005796525,0.0030809045,0.12018467,0.0036947688,0.108208664,0.044734575,0.047882326
ENSG00000272106,0.11361929,0.007219151,0.0072665345,0.0154092675,0.07505945,0.033576377,0.002750121,0.02387651,0.012608844,0.023262637
ENSG00000197530,0.120343484,0.028415315,0.18752494,0.0572788,0.0596227,0.054319464,0.0638366,0.058939513,0.02086925,0.015744517
ENSG00000189409,0.032526463,0.002294449,0.12086107,0.006043479,0.001792943,0.32800183,0.032253902,0.33480585,0.15616931,0.13433243
ENSG00000248333,0.25030664,0.18336506,0.1450871,0.18876234,0.16314621,0.404432,0.15958351,0.25908282,0.14701506,0.29165736
ENSG00000272004,0.39076728,0.0073704235,0.25551778,0.07994958,0.037101652,0.76637435,0.14119525,0.67908424,0.64522845,0.40293545
ENSG00000189339,0.06651103,0.01655122,0.067879625,0.040657185,0.04515925,0.04520975,0.045314506,0.059645686,0.024029098,0.0354982
ENSG00000008128,0.21453401,0.26445168,0.23767671,0.22254677,0.09971527,0.2601388,0.2195623,0.30416638,0.23657152,0.24504694
ENSG00000215790,0.07569337,0.011873576,0.013607144,0.014989835,0.04937064,0.05388022,0.022721058,0.09855325,0.025757711,0.042056747
ENSG00000008130,0.057029784,0.04366592,0.018882833,0.006429368,0.036856435,0.043749854,0.018669842,0.08134675,0.021130627,0.21210882
ENSG00000078369,0.58253384,0.39328152,0.26565412,0.30790275,0.7578281,0.18682171,0.23492128,0.3656471,0.18072745,0.8180491
ENSG00000231050,0.573641,0.07659276,0.33653462,0.30462196,0.20897076,0.46615055,0.32138684,0.6367652,0.35219896,0.44678837
ENSG00000178821,0.5146021,0.03710511,0.663849,0.274993,0.28700376,0.5425488,0.47199684,0.36072588,0.323206,0.34201765
ENSG00000142609,0.003771166,0.007421853,0.0109662,0.0034316382,0.0032725893,0.018603537,0.0062103034,0.14704455,0.016549226,0.012927131
ENSG00000187730,0.29676554,0.009774279,0.4758071,0.053998783,0.016235655,0.41335508,0.100925736,0.3637785,0.41742143,0.4491108
ENSG00000067606,0.04528895,0.0051437835,0.03196525,0.013663561,0.20089208,0.107751295,0.037421726,0.02736487,0.050114535,0.00944359
ENSG00000271806,0.024248615,0.0060049356,0.031075904,0.0069528297,0.005346565,0.32786936,0.0075283684,0.29590726,0.09785464,0.120187424
ENSG00000182873,0.5368331,0.03568332,0.4303638,0.30822718,0.13806885,0.85166556,0.54675543,0.84168065,0.48809415,0.67704415
ENSG00000162585,0.38499922,0.12831388,0.1320357,0.11855664,0.19845009,0.23682779,0.09498501,0.11774897,0.052012272,0.3224357
ENSG00000234396,0.45366576,0.12780143,0.253156,0.3804835,0.26996475,0.74161494,0.5057621,0.42899847,0.43441415,0.6075189
ENSG00000157933,0.24173525,0.43107313,0.37578383,0.33095253,0.13603646,0.27441007,0.21117589,0.65701175,0.16572495,0.25747693
ENSG00000116151,0.049463212,0.010934511,0.008991764,0.0029388955,0.005397503,0.034434367,0.007698761,0.058271594,0.01262375,0.016367178
ENSG00000157916,0.38130465,0.24377917,0.15583023,0.17681094,0.38848996,0.25673032,0.19496195,0.24556963,0.17376311,0.22944875
ENSG00000157911,0.15008049,0.019960783,0.016216971,0.007952119,0.08005479,0.03013034,0.0040055728,0.012182427,0.024425015,0.0372568
ENSG00000149527,0.0029333448,0.0012825247,0.06655089,0.0071691535,0.10278662,0.05653633,0.01671859,0.013577049,0.014228738,0.01405415
ENSG00000157881,0.07268134,0.009199774,0.015400502,0.009977529,0.029538417,0.06805482,0.01642469,0.04877396,0.04773965,0.06030884
ENSG00000197921,0.33733255,0.022170724,0.67407453,0.25119773,0.09045888,0.6076099,0.41760266,0.5581903,0.5705326,0.45626533
ENSG00000272449,0.0045934883,0.026912685,0.16885747,0.07610015,0.0016146174,0.1363766,0.07734779,0.0135302385,0.023762947,0.0940311
ENSG00000238164,0.0040393043,0.0124535505,0.06922052,0.031134875,0.001207739,0.06532657,0.019739253,0.052070245,0.017416973,0.010603063
ENSG00000157873,0.03996789,0.14569275,0.1670784,0.24378972,0.0109126065,0.3682797,0.24904652,0.0778454,0.10314401,0.33243027
ENSG00000228037,0.02790084,0.001847142,0.0873958,0.009044236,0.0026057647,0.24900153,0.018509129,0.18513036,0.16793074,0.16353805
ENSG00000157870,0.08404145,0.008241807,0.027464766,0.027267769,0.0067392983,0.052528724,0.005573834,0.015926627,0.03050529,0.05100543
ENSG00000142606,0.6695188,0.066736795,0.8470677,0.45990843,0.18802291,0.65266645,0.41718358,0.51127803,0.47231114,0.63833076
ENSG00000215912,0.13028124,0.0015280201,0.082327515,0.004909304,0.0029210849,0.37022656,0.009661786,0.39240935,0.18820585,0.23507954
ENSG00000142611,0.2546536,0.0050461423,0.26479635,0.051029008,0.013523526,0.7804004,0.12253243,0.6598059,0.5220485,0.6848757
ENSG00000130762,0.45848107,0.07365266,0.27591506,0.33152172,0.2553298,0.5013492,0.3684583,0.8346012,0.5054426,0.31077147
ENSG00000162591,0.0033116683,0.0008939849,0.00493806,0.010527952,0.0010402703,0.05627061,0.004939197,0.01515683,0.029603273,0.01973626
ENSG00000238260,0.512829,0.06295009,0.41874352,0.37822944,0.27739564,0.58921444,0.39168963,0.7174645,0.38188118,0.4174196
ENSG00000158109,0.016286466,0.032169256,0.03904612,0.060119066,0.09005893,0.07701637,0.029608456,0.04865399,0.053792376,0.03619042
ENSG00000116213,0.077578,0.025310839,0.011912389,0.027026167,0.055593744,0.0729752,0.030160395,0.04676123,0.03971016,0.053717524
ENSG00000078900,0.3194604,0.052812915,0.43373492,0.2588106,0.31902352,0.7820984,0.26089904,0.52560276,0.6229405,0.6817145
ENSG00000162592,0.011374352,0.0029196022,0.012509475,0.005006462,0.0028379813,0.19561166,0.0066218334,0.089401275,0.07402822,0.035550177
ENSG00000235169,0.0035322849,0.026315229,0.0096443435,0.006804219,0.009189495,0.06069528,0.0086989,0.037983574,0.020146003,0.031501576
ENSG00000130764,0.15618798,0.022522448,0.05977036,0.032756124,0.12436635,0.03379585,0.023492152,0.030232158,0.023140471,0.02327026
ENSG00000116198,0.18997273,0.045597356,0.046388723,0.08353007,0.2614322,0.11340397,0.0696145,0.1083368,0.028684704,0.08294659
ENSG00000169598,0.034758452,0.007785498,0.051456712,0.021486718,0.025661837,0.027915118,0.00906201,0.040017083,0.017996386,0.011277849
ENSG00000198912,0.06290404,0.0426824,0.13339631,0.0421667,0.0372377,0.018103931,0.047595486,0.04016333,0.035266858,0.07231158
ENSG00000236423,0.33339256,0.010919482,0.27928287,0.080812454,0.04296091,0.8312288,0.09573007,0.60300225,0.3518797,0.34913146
ENSG00000284703,0.42300704,0.06953867,0.39588466,0.33706793,0.4212846,0.81710625,0.23334278,0.7409395,0.25169185,0.4281793
ENSG00000196581,0.0031284185,0.00078924967,0.00458539,0.0016130271,0.1020718,0.015273891,0.0019903735,0.014547979,0.014840922,0.008458137
ENSG00000131697,0.018483957,0.008510985,0.01966928,0.0043444373,0.012583364,0.14590794,0.0051010703,0.13196324,0.019791784,0.031094143
